,DOCT
symbol,DOCT
price,32.54
beta,0
volAvg,82767
mktCap,0
lastDiv,0
range,29.97-32.92
changes,0.27
companyName,FT Cboe Vest U.S. Equity Deep Buffer ETF - October
currency,USD
cik,
isin,US33740F6723
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"Under normal market conditions, the fund will invest substantially all of its assets in FLEX Options that reference the performance of the SPDR ® S&P 500 ® ETF Trust. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DOCT.png
ipoDate,2020-10-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
