,JMBS
symbol,JMBS
price,47.26
beta,0
volAvg,149765
mktCap,0
lastDiv,1.039
range,43.31-51.98
changes,0.3125
companyName,Janus Henderson Mortgage-Backed Securities ETF
currency,USD
cik,
isin,US47103U8523
cusip,47103U852
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to achieve its investment objective by investing mainly in mortgage-related instruments. Under normal circumstances, it will invest at least 80%, and often times substantially all, of its net assets (plus any borrowings for investment purposes) in a portfolio of mortgage-related fixed income instruments of varying maturities. Additionally, the fund may invest in derivatives."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JMBS.png
ipoDate,2018-09-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
