,EWA
symbol,EWA
price,24.86
beta,0
volAvg,2928193
mktCap,1581096050
lastDiv,1.173
range,19.19-27.16
changes,0.17
companyName,iShares MSCI Australia ETF
currency,USD
cik,
isin,US4642861037
cusip,464286103
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index is designed to measure the performance of large- and mid-capitalization segments of the Australian equity market. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EWA.png
ipoDate,1996-03-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
