,SEF
symbol,SEF
price,12.02
beta,0
volAvg,89265
mktCap,0
lastDiv,0.051
range,11.33-15.0
changes,-0.17
companyName,ProShares Short Financials
currency,USD
cik,
isin,US74347B1851
cusip,74347B185
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is designed to measure the stock performance of U.S. companies in the financials industry. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SEF.png
ipoDate,2008-06-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
