,DSI
symbol,DSI
price,76.9
beta,0
volAvg,333227
mktCap,1412346246
lastDiv,0.997
range,64.72-88.81
changes,1.27
companyName,iShares MSCI KLD 400 Social ETF
currency,USD
cik,
isin,US4642885705
cusip,464288570
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. The underlying index is a free float-adjusted market capitalization index designed to provide exposure to U.S. companies that have positive environmental, social and governance (""ESG"") characteristics."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DSI.png
ipoDate,2006-11-14
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
