,IBBQ
symbol,IBBQ
price,21.83
beta,0
volAvg,8870
mktCap,0
lastDiv,0.161
range,16.73-22.17
changes,0.25
companyName,Invesco Nasdaq Biotechnology ETF
currency,USD
cik,
isin,
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the index. Strictly in accordance with its guidelines and mandated procedures, Nasdaq compiles the underlying index, which is a modified market capitalization weighted index that is designed to measure the performance of securities listed on the Nasdaq Stock Market that are classified as either biotechnology or pharmaceutical companies. The index may include securities of large-, mid- and small-capitalization companies. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IBBQ.png
ipoDate,2021-06-11
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
