,PXI
symbol,PXI
price,45.29
beta,0
volAvg,34918
mktCap,0
lastDiv,1.3579999999999999
range,33.65-53.05
changes,0.69
companyName,Invesco DWA Energy Momentum ETF
currency,USD
cik,
isin,US46137V8789
cusip,46137V878
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of at least 30 securities of companies in the energy sector that have powerful relative strength or ""momentum"" characteristics."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PXI.png
ipoDate,2006-10-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
