,ZWU.TO
symbol,ZWU.TO
price,11.7
beta,0
volAvg,244408
mktCap,0
lastDiv,0.9599999999999999
range,10.62-13.88
changes,0.06
companyName,BMO Covered Call Utilities ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ZWU.TO.png
ipoDate,2012-01-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
