,BIL
symbol,BIL
price,91.73
beta,0
volAvg,6546795
mktCap,8105200699
lastDiv,0.9650000000000001
range,91.33-91.74
changes,0.01
companyName,SPDR Bloomberg 1-3 Month T-Bill ETF
currency,USD
cik,
isin,US78468R6633
cusip,78468R663
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of greater than or equal to 1 month and less than 3 months."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BIL.png
ipoDate,2007-05-25
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
