,CWB
symbol,CWB
price,68.21
beta,0
volAvg,652067
mktCap,4097819838
lastDiv,1.064
range,62.22-79.21
changes,0.38
companyName,SPDR Bloomberg Convertible Securities ETF
currency,USD
cik,
isin,US78464A3591
cusip,78464A359
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to represent the market of U.S. convertible securities, such as convertible bonds and convertible preferred stock."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CWB.png
ipoDate,2009-04-14
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
