,WINN
symbol,WINN
price,15.01
beta,0
volAvg,66945
mktCap,0
lastDiv,0.008
range,13.25-20.99
changes,0.2
companyName,Harbor Long-Term Growers ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests primarily in equity securities, principally common and preferred stocks, of U.S. companies that the sub-adviser believes to have above-average prospects for long-term growth. The fund may invest up to 20% of its total assets in the securities of foreign issuers, including issuers located or doing business in emerging markets. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/WINN.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
