,CGGR
symbol,CGGR
price,22.19
beta,0
volAvg,1190660
mktCap,0
lastDiv,0.067
range,18.6-28.37
changes,0.36
companyName,Capital Group Growth ETF
currency,USD
cik,0001869991
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests primarily in common stocks and seeks to invest in companies that appear to offer superior opportunities for growth of capital. It may invest up to 25% of its assets in common stocks and other securities of issuers domiciled outside the United States. The fund relies on the professional judgment of its investment adviser to make decisions about the fund’s portfolio investments. The basic investment philosophy of the investment adviser is to seek to invest in attractively valued companies that, in its opinion, represent good, long-term investment opportunities. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CGGR.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
