,KEMQ
symbol,KEMQ
price,16.25
beta,0
volAvg,26911
mktCap,0
lastDiv,0.067
range,11.11-22.45
changes,0.03
companyName,KraneShares Emerging Markets Consumer Technology Index ETF
currency,USD
cik,
isin,US5007678767
cusip,500767876
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund will invest at least 80% of its net assets (plus borrowings for investment purposes) in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The underlying index is composed of the equity securities of the 50 largest companies by market capitalization that derive the most revenue from an Emerging and Frontier Market and classified as in the consumer or technology sector.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KEMQ.png
ipoDate,2017-10-11
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
