,PICK
symbol,PICK
price,46.63
beta,0
volAvg,289098
mktCap,389360500
lastDiv,2.843
range,31.86-53.0
changes,0.16
companyName,iShares MSCI Global Metals & Mining Producers ETF
currency,USD
cik,
isin,US46434G8481
cusip,46434G848
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index. The index measure the combined performance of equities of companies in both developed and emerging markets that are primarily involved in the extraction or production of diversified metals, the production of aluminum or steel and in the mining of precious metals and minerals. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PICK.png
ipoDate,2012-01-31
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
