,BFIT
symbol,BFIT
price,23.1947
beta,0
volAvg,1588
mktCap,28824256180
lastDiv,0.194
range,17.81-26.83
changes,0.2047
companyName,Global X Health & Wellness ETF
currency,USD
cik,
isin,US37954Y7985
cusip,37954Y798
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund invests more than 80% of its total assets in the securities of the underlying index and in ADRs and GDRs based on the securities in the underlying index. The underlying index is designed to provide exposure to exchange-listed companies in developed markets that provide products and services that facilitate physical wellness through active and healthy lifestyles.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BFIT.png
ipoDate,2016-05-09
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
