,IPKW
symbol,IPKW
price,36.28
beta,0
volAvg,18822
mktCap,0
lastDiv,1.261
range,28.28-40.62
changes,0.15
companyName,Invesco International BuyBack Achievers ETF
currency,USD
cik,
isin,US46138E6445
cusip,46138E644
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, Nasdaq, Inc. (""Nasdaq"" or the ""index provider"") compiles, maintains, and calculates the underlying index, which is comprised of the securities of foreign companies that are classified as ""International BuyBack AchieversTM"" pursuant to the index provider's proprietary selection methodology. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IPKW.png
ipoDate,2014-03-06
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
