,BITI
symbol,BITI
price,27.78
beta,0
volAvg,841518
mktCap,0
lastDiv,0
range,27.228-45.61
changes,-0.53
companyName,ProShares Trust - ProShares Short Bitcoin Strategy ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,
ceo,
sector,
country,
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BITI.png
ipoDate,2022-06-21
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
