,JPIN
symbol,JPIN
price,52.87
beta,0
volAvg,87370
mktCap,0
lastDiv,1.5060000000000002
range,41.64-59.18
changes,0.1
companyName,JPMorgan Diversified Return International Equity ETF
currency,USD
cik,
isin,US46641Q2093
cusip,46641Q209
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund will invest at least 80% of its assets in securities included in the underlying index. The underlying index is comprised of equity securities across developed global markets (excluding North America) selected to represent a diversified set of factor characteristics.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JPIN.png
ipoDate,2014-11-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
