,QPFF
symbol,QPFF
price,36.82
beta,0
volAvg,11036
mktCap,0
lastDiv,0
range,33.56-39.935
changes,0.2368
companyName,American Century Quality Preferred ETF
currency,USD
cik,0001710607
isin,
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"Under normal market conditions, the portfolio managers will invest at least 80% of the fund's net assets, plus any borrowings for investment purposes, in preferred securities issued by U.S. and non-U.S. companies. Preferred securities in which the fund may invest include preferred stock, hybrid preferred securities that have characteristics similar to both preferred stock and debt securities, floating rate preferred securities, junior subordinated debt, senior unsecured debt obligations denominated in $25 par amounts, re-packaged preferreds, and convertible securities. The fund is non-diversified."
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/QPFF.png
ipoDate,2021-02-19
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
