,EMLC
symbol,EMLC
price,25.43
beta,0
volAvg,1348125
mktCap,5430830775
lastDiv,1.142
range,22.38-29.2
changes,0.2803
companyName,VanEck J.P. Morgan EM Local Currency Bond ETF
currency,USD
cik,
isin,US92189H3003
cusip,92189H300
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is comprised of bonds issued by emerging market governments and denominated in the local currency of the issuer. It may concentrate its investments in a particular industry or group of industries to the extent that the index concentrates in an industry or group of industries. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EMLC.png
ipoDate,2010-07-22
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
