,JPMB
symbol,JPMB
price,39.94
beta,0
volAvg,74850
mktCap,0
lastDiv,1.8329999999999997
range,35.24-46.98
changes,0.2468
companyName,JPMorgan USD Emerging Markets Sovereign Bond ETF
currency,USD
cik,
isin,US46641Q7464
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its assets in securities included in the underlying index. The underlying index is comprised of liquid, U.S. dollar-denominated sovereign and quasi-sovereign fixed and floating rate debt securities from emerging markets selected using a rules-based methodology that was developed and is owned by the adviser. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JPMB.png
ipoDate,2018-01-29
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
