,BKAG
symbol,BKAG
price,42.96
beta,0
volAvg,76934
mktCap,23701713689
lastDiv,0.9259999999999999
range,40.0-48.186
changes,0.14
companyName,BNY Mellon Core Bond ETF
currency,USD
cik,0001493580
isin,US09661T6029
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"To pursue its goal, the fund normally invests substantially all, but at least 80%, of its assets in bonds comprising the Bloomberg US Aggregate Total Return Index and TBA transactions representing bonds included in the index. The Bloomberg US Aggregate Total Return Index is designed to measure the investment grade, U.S. dollar-denominated, fixed-rate taxable bond market. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BKAG.png
ipoDate,2020-04-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
