,QDF
symbol,QDF
price,55.48
beta,0
volAvg,64191
mktCap,0
lastDiv,1.287
range,46.83-60.54
changes,0.84
companyName,FlexShares Quality Dividend Index Fund
currency,USD
cik,
isin,US33939L8607
cusip,33939L860
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index is designed to reflect the performance of a selection of companies that, in aggregate, possess greater financial strength and stability characteristics relative to the Northern Trust 1250 Index, a float-adjusted market-capitalization weighted index of U.S. domiciled large- and mid-capitalization companies. Under normal circumstances, the fund will invest at least 80% of its total assets (exclusive of collateral held from securities lending) in the securities of the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/QDF.png
ipoDate,2012-12-14
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
