,DUKB
symbol,DUKB
price,25.2
beta,0
volAvg,38285
mktCap,0
lastDiv,1.408
range,22.72-27.3
changes,0.19
companyName,Duke Energy Corporation 5.625% 
currency,USD
cik,0001326160
isin,US26441C4024
cusip,26441C402
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,Industrials
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DUKB.png
ipoDate,2018-09-20
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
