,IUS
symbol,IUS
price,38.59
beta,0
volAvg,42208
mktCap,0
lastDiv,0.651
range,32.87-41.31
changes,0.59
companyName,Invesco RAFI Strategic US ETF
currency,USD
cik,
isin,US46138J7422
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The Adviser employs a ""full replication"" methodology in seeking to track the underlying index, meaning that the fund generally invests in all of the securities comprising the index in proportion to their weightings in the index. The index is designed to measure the performance of equity securities of U.S. companies that tend to have larger, higher quality businesses."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IUS.png
ipoDate,2018-09-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
