,PJP
symbol,PJP
price,78.52
beta,0
volAvg,12504
mktCap,494675921
lastDiv,0.746
range,68.59-84.11
changes,0.76
companyName,Invesco Dynamic Pharmaceuticals ETF
currency,USD
cik,
isin,US46137V6627
cusip,46137V662
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of common stocks of U.S. pharmaceutical companies. These companies are engaged principally in the research, development, manufacture, sale or distribution of pharmaceuticals and drugs of all types. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PJP.png
ipoDate,2005-06-23
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
