,KOLD
symbol,KOLD
price,53.07
beta,0
volAvg,9927157
mktCap,0
lastDiv,0
range,9.06-153.6
changes,-2.42
companyName,ProShares UltraShort Bloomberg Natural Gas
currency,USD
cik,0001415311
isin,US74347W3878
cusip,74347Y813
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to meet its investment objective by investing in Natural Gas futures contracts. It may also invest in swaps if the market for a specific futures contract experiences emergencies or disruptions (e.g., a trading halt or a flash crash) or in situations where the Sponsor deems it impractical or inadvisable to buy or sell futures contracts (such as during periods of market volatility or illiquidity)."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KOLD.png
ipoDate,2011-10-04
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
