,FLUS.TO
symbol,FLUS.TO
price,31.59
beta,0
volAvg,2909
mktCap,0
lastDiv,0.5439999999999999
range,28.1-33.25
changes,0.25
companyName,Franklin U.S. Large Cap Multifactor Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FLUS.TO.png
ipoDate,2017-06-05
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
