,SFB
symbol,SFB
price,23.73
beta,0.424802
volAvg,0
mktCap,0
lastDiv,0.285
range,23.03-23.73
changes,0.6
companyName,Stifel Financial Corporation 5.20% Senior Notes due 2047
currency,USD
cik,0000720672
isin,US8606306079
cusip,860630607
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,23.9043
dcf,47.1843
image,https://financialmodelingprep.com/image-stock/SFB.png
ipoDate,2017-10-17
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
