,SOYB
symbol,SOYB
price,28.19
beta,0
volAvg,54281
mktCap,0
lastDiv,0
range,24.26-29.29
changes,0.06
companyName,Teucrium Soybean Fund
currency,USD
cik,0001471824
isin,US88166A6073
cusip,88166A607
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to achieve its investment objective by investing in Benchmark Component Futures Contracts. Under normal market conditions, the manager expects that 100% of the fund’s assets will be invested in Benchmark Component Futures Contracts and in cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SOYB.png
ipoDate,2011-09-19
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
