,PAK
symbol,PAK
price,13.4
beta,0
volAvg,9870
mktCap,0
lastDiv,0.641
range,13.3101-24.365
changes,-0.04
companyName,Global X MSCI Pakistan ETF
currency,USD
cik,
isin,US37950E6894
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to represent the performance of the broad Pakistan equity universe. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PAK.png
ipoDate,2015-04-23
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
