,WCLD
symbol,WCLD
price,28.72
beta,0
volAvg,462134
mktCap,0
lastDiv,0
range,22.79-46.71
changes,0.73
companyName,WisdomTree Cloud Computing Fund
currency,USD
cik,
isin,US97717Y6914
cusip,97717Y691
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"Under normal circumstances, at least 80% of the fund’s total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is designed to track the performance of emerging public companies primarily involved in providing cloud computing software and services to their customers. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/WCLD.png
ipoDate,2019-09-06
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
