,ZROZ
symbol,ZROZ
price,96.53
beta,0
volAvg,287139
mktCap,0
lastDiv,1.79
range,77.51-146.98
changes,0.77
companyName,PIMCO 25+ Year Zero Coupon U.S. Treasury Index Exchange-Traded Fund
currency,USD
cik,
isin,US72201R8824
cusip,72201R882
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its total assets (exclusive of collateral held from securities lending) in the component securities of the ICE BofA Long US Treasury Principal STRIPS Index (the ""underlying index""). The underlying index is an unmanaged index comprised of long maturity Separate Trading of Registered Interest and Principal of Securities (""STRIPS"") representing the final principal payment of U.S. Treasury bonds."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ZROZ.png
ipoDate,2009-10-30
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
