,HYS
symbol,HYS
price,91.89
beta,0
volAvg,394703
mktCap,0
lastDiv,3.96
range,86.46-97.78
changes,0.56
companyName,PIMCO 0-5 Year High Yield Corporate Bond Index Exchange-Traded Fund
currency,USD
cik,
isin,US72201R7834
cusip,72201R783
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund invests under normal circumstances at least 80% of its total assets (exclusive of collateral held from securities lending) in the component securities of the ICE BofA 0-5 Year US High Yield Constrained Index. The underlying index is an unmanaged index comprised of U.S. dollar denominated below investment grade corporate debt securities publicly issued in the U.S. domestic market with remaining maturities of less than 5 years.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HYS.png
ipoDate,2011-06-16
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
