,GXC
symbol,GXC
price,88.06
beta,0
volAvg,285531
mktCap,0
lastDiv,2.096
range,60.01-105.89
changes,-0.43
companyName,SPDR S&P China ETF
currency,USD
cik,
isin,US78463X4007
cusip,78463X400
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in depositary receipts based on securities comprising the index. The index is a market capitalization weighted index designed to define and measure the investable universe of publicly traded companies domiciled in China available to foreign investors."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GXC.png
ipoDate,2007-03-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
