,FPXI
symbol,FPXI
price,41.31
beta,0
volAvg,60200
mktCap,0
lastDiv,0.438
range,33.73-53.573
changes,0.17
companyName,First Trust International Equity Opportunities ETF
currency,USD
cik,
isin,US33734X8535
cusip,33734X853
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index is a market-cap weighted portfolio measuring the performance of the top 50 companies domiciled outside the United States ranked quarterly by market capitalization in the IPOX ® Global Composite Index and represents, on average, 25% of the total market capitalization of the base index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FPXI.png
ipoDate,2014-11-05
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
