,EES
symbol,EES
price,47.48
beta,0
volAvg,59529
mktCap,807930031
lastDiv,0.477
range,39.01-49.52
changes,1.33
companyName,WisdomTree U.S. SmallCap Earnings Fund
currency,USD
cik,
isin,US97717W5629
cusip,97717W562
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, at least 95% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index that is comprised of earnings-generating companies within the small-capitalization segment of the U.S. stock market. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EES.png
ipoDate,2007-02-23
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
