,ERY
symbol,ERY
price,27.44
beta,0
volAvg,879713
mktCap,26388362
lastDiv,0.092
range,25.59-77.9
changes,-0.41
companyName,Direxion Daily Energy Bear 2X Shares
currency,USD
cik,0001424958
isin,US25460E5548
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in swap agreements, futures contracts, short positions or other financial instruments that, in combination, provide inverse or short leveraged exposure to the index equal to at least 80% of the fund's net assets (plus borrowing for investment purposes). The index is provided by S&P Dow Jones Indices and includes domestic companies from the energy sector which includes the following industries: oil, gas and consumable fuels; and energy equipment and services. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ERY.png
ipoDate,2008-11-06
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
