,SPY
symbol,SPY
price,406.48
beta,1
volAvg,81473704
mktCap,373060042806
lastDiv,6.32
range,348.11-462.07
changes,5.89
companyName,SPDR S&P 500 ETF Trust
currency,USD
cik,0000884394
isin,US78462F1030
cusip,78462F103
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The Trust seeks to achieve its investment objective by holding a portfolio of the common stocks that are included in the index (the “Portfolio”), with the weight of each stock in the Portfolio substantially corresponding to the weight of such stock in the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SPY.png
ipoDate,1993-01-22
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
