,XEU.TO
symbol,XEU.TO
price,26.42
beta,0
volAvg,3611
mktCap,0
lastDiv,0.742
range,20.5-27.97
changes,-0.02
companyName,iShares MSCI Europe IMI Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XEU.TO.png
ipoDate,2014-04-23
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
