,AOM
symbol,AOM
price,39.94
beta,0
volAvg,449600
mktCap,1042076697
lastDiv,0.863
range,35.71-44.45
changes,0.29
companyName,iShares Core Moderate Allocation ETF
currency,USD
cik,
isin,US4642898757
cusip,464289875
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund is a fund of funds and seeks its investment objective by investing primarily in underlying funds that themselves seek investment results corresponding to their own respective underlying indexes. It generally will invest at least 80% of its assets in the component securities of the underlying index. The index measures the performance of the S&P Dow Jones Indices LLC proprietary allocation model.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AOM.png
ipoDate,2008-11-04
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
