,XLI
symbol,XLI
price,101.85
beta,0
volAvg,10397859
mktCap,13915358202
lastDiv,1.606
range,82.75-105.23
changes,1.7
companyName,Industrial Select Sector SPDR Fund
currency,USD
cik,
isin,US81369Y7040
cusip,81369Y704
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes securities of companies from the following industries: aerospace and defense; industrial conglomerates; marine; transportation infrastructure; machinery; road and rail; air freight and logistics; commercial services and supplies; etc. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XLI.png
ipoDate,1998-12-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
