,NXF.TO
symbol,NXF.TO
price,6.39
beta,0
volAvg,50551
mktCap,0
lastDiv,0.6980000000000001
range,5.14-7.13
changes,0.06
companyName,CI Energy Giants Covered Call ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/NXF.TO.png
ipoDate,2015-02-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
