,FNDX
symbol,FNDX
price,56.67
beta,0
volAvg,414027
mktCap,0
lastDiv,1.104
range,47.5-59.78
changes,0.84
companyName,Schwab Fundamental U.S. Large Company Index ETF
currency,USD
cik,
isin,US8085247711
cusip,808524771
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund normally will invest at least 90% of its net assets (including, for this purpose, any borrowings for investment purposes) in stocks included in the index. The index measures the performance of the large company size segment by fundamental overall company scores (scores), which are created using as the universe the U.S. companies in the FTSE Global Total Cap Index (the parent index)."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FNDX.png
ipoDate,2013-08-15
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
