,ULE
symbol,ULE
price,11.57
beta,0
volAvg,50547
mktCap,0
lastDiv,0
range,9.15-13.54
changes,0.07
companyName,ProShares Ultra Euro
currency,USD
cik,0001415311
isin,US74347W8745
cusip,74347W874
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to meet its investment objective by investing under normal market conditions in any one of, or combinations of, Financial Instruments (including swap agreements, futures contracts and forward contracts) based on the fund’s benchmark. It will also hold cash or cash equivalents such as U.S. Treasury securities or other high credit quality, short-term fixed-income or similar securities as collateral for Financial Instruments and pending investment in Financial Instruments."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ULE.png
ipoDate,2008-11-25
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
