,EDC
symbol,EDC
price,37.7
beta,0
volAvg,156831
mktCap,242276298
lastDiv,0.052
range,20.34-78.39
changes,-0.31
companyName,Direxion Daily MSCI Emerging Markets Bull 3X Shares
currency,USD
cik,0001424958
isin,AU3CB0237766
cusip,25490K281
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, exchange-traded funds (""ETFs"") that track the index, securities of the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is designed to represent the performance of large- and mid-capitalization securities across 24 emerging market countries. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EDC.png
ipoDate,2008-12-17
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
