,MJ
symbol,MJ
price,4.58
beta,0
volAvg,755329
mktCap,0
lastDiv,0.17600000000000002
range,4.02-11.45
changes,0.19
companyName,ETFMG Alternative Harvest ETF
currency,USD
cik,
isin,US26924G5080
cusip,26924G508
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index tracks the performance of the exchange-listed common stock of companies across the globe that are Cannabis Companies, Pharmaceutical Companies or trade tobacco, produce tobacco products, produce cigarette and cigar components. The fund will invest at least 80% of its total assets, exclusive of collateral held from securities lending, in the component securities of the index and in ADRs and GDRs based on the component securities in the index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MJ.png
ipoDate,2015-12-02
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
