,ELD
symbol,ELD
price,27.2
beta,0
volAvg,19221
mktCap,197722539
lastDiv,1.355
range,23.79-30.34
changes,0.23
companyName,WisdomTree Emerging Markets Local Debt Fund
currency,USD
cik,
isin,US97717X8671
cusip,97717X867
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to achieve its investment objective through investment in bonds and other debt instruments denominated in the local currencies of emerging market countries. Under normal circumstances, it will invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in Local Debt. The Advisor attempts to maintain an aggregate portfolio duration of between two and ten years under normal market conditions. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ELD.png
ipoDate,2010-08-09
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
