,KOMP
symbol,KOMP
price,44.26
beta,0
volAvg,147511
mktCap,0
lastDiv,0.58
range,36.94-54.02
changes,0.99
companyName,SPDR S&P Kensho New Economies Composite ETF
currency,USD
cik,
isin,US78468R6484
cusip,78468R648
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index is designed to capture companies whose products and services are driving innovation and transforming the global economy through the use of existing and emerging technologies, and rapid developments in robotics, automation, artificial intelligence, connectedness and processing power. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KOMP.png
ipoDate,2018-10-22
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
