,DFEN
symbol,DFEN
price,21.15
beta,0
volAvg,414118
mktCap,66262569
lastDiv,0.091
range,11.37-24.45
changes,0.81
companyName,Direxion Daily Aerospace & Defense Bull 3X Shares
currency,USD
cik,0001424958
isin,US25460E6611
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, and securities of the index, ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or ETFs that track the index. The index attempts to measure the performance of the aerospace and defense industry of the U.S. equity market. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DFEN.png
ipoDate,2017-05-03
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
