,FLFR
symbol,FLFR
price,29.57
beta,0
volAvg,3196
mktCap,1617543019
lastDiv,0.795
range,21.21-31.64
changes,0.2605
companyName,Franklin FTSE France ETF
currency,USD
cik,
isin,US35473P7933
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund invests at least 80% of its assets in the component securities of the FTSE France Capped Index and in depositary receipts representing such securities. The FTSE France Capped Index is based on the FTSE France Index and is designed to measure the performance of French large- and mid-capitalization stocks. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FLFR.png
ipoDate,2017-11-02
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
