,DEM
symbol,DEM
price,38.72
beta,0
volAvg,462377
mktCap,2217332241
lastDiv,3.071
range,31.8-47.66
changes,0.11
companyName,WisdomTree Emerging Markets High Dividend Fund
currency,USD
cik,
isin,US97717W3152
cusip,97717W315
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, at least 95% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index that is comprised of the highest dividend-yielding common stocks selected from the WisdomTree Emerging Markets Dividend Index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DEM.png
ipoDate,2007-07-13
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
