,VIU.TO
symbol,VIU.TO
price,30.32
beta,0
volAvg,57962
mktCap,0
lastDiv,0.78
range,24.37-32.09
changes,-0.06
companyName,Vanguard FTSE Developed All Cap ex North Amer Idx ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VIU.TO.png
ipoDate,2015-12-08
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
