,JPUS
symbol,JPUS
price,99.58
beta,0
volAvg,14475
mktCap,0
lastDiv,2.231
range,85.37-107.581
changes,1.5468
companyName,JPMorgan Diversified Return U.S. Equity ETF
currency,USD
cik,
isin,US46641Q4073
cusip,46641Q407
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its assets in securities included in the underlying index. The underlying index is comprised of U.S. equity securities selected to represent a diversified set of factor characteristics. The fund's securities are large- and mid-cap equity securities of U.S. companies, including common stock, preferred stock and real estate investment trusts."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JPUS.png
ipoDate,2015-09-29
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
