,DFUS
symbol,DFUS
price,44.25
beta,0
volAvg,268018
mktCap,0
lastDiv,0.616
range,37.96-50.161
changes,0.67
companyName,Dimensional U.S. Equity ETF
currency,USD
cik,0001816125
isin,
cusip,25434V401
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"As a non-fundamental policy, under normal circumstances, the fund will invest at least 80% of its net assets in securities of U.S. companies. The fund may purchase or sell futures contracts and options on futures contracts for U.S. equity securities and indices, to increase or decrease equity market exposure based on actual or expected cash inflows to or outflows from the Portfolio."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DFUS.png
ipoDate,2021-06-14
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
