,WANT
symbol,WANT
price,23.91
beta,0
volAvg,76354
mktCap,0
lastDiv,0.035
range,14.945-73.549
changes,1.51
companyName,Direxion Daily Cnsmr Discret Bull 3XShrs
currency,USD
cik,0001424958
isin,US25459Y8012
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund, under normal circumstances, invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, and securities of the index, ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or ETFs that track the index. The index is provided by S&P Dow Jones Indices (the ""index provider"") and includes domestic companies from the consumer discretionary sector. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/WANT.png
ipoDate,2018-11-29
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
