,HGRO.TO
symbol,HGRO.TO
price,13.15
beta,0
volAvg,19812
mktCap,0
lastDiv,0.004
range,11.14-14.65
changes,0.13
companyName,Horizons Growth TRI ETF Portfolio
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HGRO.TO.png
ipoDate,2019-09-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
