,QQEW
symbol,QQEW
price,97.2
beta,0
volAvg,140022
mktCap,790717820
lastDiv,0.587
range,79.73-110.27
changes,1.37
companyName,First Trust NASDAQ-100 Equal Weighted Index Fund
currency,USD
cik,
isin,US3373441050
cusip,337344105
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index is the equal-weighted version of the NASDAQ-100 Index® which includes 100 of the largest U.S. and international non-financial companies listed on Nasdaq based on market capitalization.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/QQEW.png
ipoDate,2006-04-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
