,HYLB
symbol,HYLB
price,35.105
beta,0
volAvg,4800861
mktCap,0
lastDiv,1.711
range,32.26-38.91
changes,0.3141
companyName,Xtrackers USD High Yield Corporate Bond ETF
currency,USD
cik,0001503123
isin,US2330514322
cusip,233051432
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will normally invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in high yield corporate bonds. The index comprised of U.S. dollar-denominated high yield corporate bonds. It will concentrate its investments (i.e., hold 25% or more of its total assets) in a particular industry or group of industries to the extent that its underlying index is concentrated. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HYLB.png
ipoDate,2016-12-07
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
