,VDU.TO
symbol,VDU.TO
price,38.25
beta,0
volAvg,5600
mktCap,0
lastDiv,0.764
range,31.05-40.12
changes,-0.04
companyName,Vanguard FTSE Developed All Cap ex U.S. Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VDU.TO.png
ipoDate,2013-08-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
