,EMLP
symbol,EMLP
price,27.54
beta,0
volAvg,304278
mktCap,2451627765
lastDiv,0.841
range,24.21-29.0
changes,0.32
companyName,First Trust North American Energy Infrastructure Fund
currency,USD
cik,
isin,US33738D1019
cusip,33738D101
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets in equity securities of companies deemed by the sub-advisor to be engaged in the energy infrastructure sector. These companies principally include U.S. and Canadian natural gas and electric utilities, corporations operating energy infrastructure assets such as pipelines or renewable energy production, utilities, publicly-traded MLPs, MLP affiliates and energy infrastructure companies. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EMLP.png
ipoDate,2012-06-21
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
