,TDSC
symbol,TDSC
price,22.6
beta,0
volAvg,278503
mktCap,0
lastDiv,0.389
range,21.85-26.18
changes,0.26
companyName,Cabana Target Drawdown 10 ETF
currency,USD
cik,
isin,US30151E7159
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund is an actively managed exchange-traded fund (“ETF”) that seeks to achieve its investment objective with limited volatility and reduced correlation to the overall performance of the equity markets by allocating its assets among the following five major asset classes – equities, fixed income securities, real estate, currencies, and commodities. The Sub-Adviser’s target drawdown for the fund is 10%; however, there can be no assurance, and the fund, the Adviser, and the Sub-Adviser do not represent or guarantee, that this target will be maintained."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TDSC.png
ipoDate,2020-09-17
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
