,XLRE
symbol,XLRE
price,40.59
beta,0
volAvg,6260677
mktCap,0
lastDiv,1.366
range,33.125-50.97
changes,0.73
companyName,The Real Estate Select Sector SPDR Fund
currency,USD
cik,
isin,US81369Y8600
cusip,81369Y860
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes securities of companies from the following industries: real estate management and development and REITs, excluding mortgage REITs. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XLRE.png
ipoDate,2015-10-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
