,XPH
symbol,XPH
price,43.54
beta,0
volAvg,53926
mktCap,239481756
lastDiv,0.6719999999999999
range,37.94-46.61
changes,0.62
companyName,SPDR S&P Pharmaceuticals ETF
currency,USD
cik,
isin,US78464A7220
cusip,78464A722
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"In seeking to track the performance of the S&P Pharmaceuticals Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the pharmaceuticals segment of the S&P Total Market Index (""S&P TMI"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XPH.png
ipoDate,2006-06-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
